104|10424|총신대입구(이수)|4호선|0432|432
107|10754|춘의|7호선|3755|753
1201|120116|춘천|경춘선|1329|P140
104|10456|충무로|4호선|0423|331
103|10322|충무로|3호선|0321|423
105|10559|충정로|5호선|2532|243
102|10240|충정로|2호선|0243|531
301|30128|캠퍼스타운|인천선|3133|I133
1001|100107|탄현|경의선|1276|K327
202|20215|탑석|의정부경전철|4615|U125
101|101100|탕정|1호선|1404|P173
107|10751|태릉입구|7호선|2719|645
106|10603|태릉입구|6호선|2646|717
201|20108|태평|수인분당선|1852|K224
301|30129|테크노파크|인천선|3134|I134
1201|120117|퇴계원|경춘선|1314|P125
