7호선|7호선|107|뚝섬유원지|12706667|3753126|127.06666726773567|37.53125616254469|subway|metro|10720|
5호선|5호선|105|마곡|12682487|3756025|126.82486645991|37.560250353349|subway|metro|10505|
9호선|9호선|109|마곡나루|12682742|3756671|126.827420928424|37.5667126094974|subway|metro|10913|
3호선|3호선|103|마두|12677774|3765199|126.77774169659|37.651987984505|subway|metro|10304|
7호선|7호선|107|마들|12705733|3766516|127.05733371192|37.665162334738|subway|metro|10704|
경춘선|경춘선|1201|마석|12731150|3765253|127.31149648951465|37.65252805484508|subway|metro|120109|
5호선|5호선|105|마장|12704298|3756621|127.04297687680|37.566206748495|subway|metro|10532|
인천2호선|인천2호선|302|마전|12666727|3759779|126.66727485930913|37.597788300714555|subway|metro|30210|
5호선|5호선|105|마천|12715248|3749496|127.15247599251|37.494958842509|subway|metro|10551|
5호선|5호선|105|마포|12694575|3753957|126.94575364674|37.53956667675|subway|metro|10519|
6호선|6호선|106|마포구청|12690319|3756351|126.90319353288|37.563506572218|subway|metro|10628|
인천2호선|인천2호선|302|만수|12673192|3745522|126.731923004341|37.455216505282124|subway|metro|30211|
경의선|경의선|1001|망우|12709213|3759930|127.09212555265|37.599304922608|subway|metro|100137|
6호선|6호선|106|망원|12690982|3755594|126.90981655224|37.555943859991|subway|metro|10627|
1호선|1호선|101|망월사|12704738|3771012|127.04738264952|37.710117502778|subway|metro|10104|
3호선|3호선|103|매봉|12704670|3748685|127.04670365630|37.486846437162|subway|metro|10334|
7호선|7호선|107|먹골|12707759|3761073|127.07758909843|37.610734294241|subway|metro|10710|
7호선|7호선|107|면목|12708743|3758852|127.08742510914|37.58852412394|subway|metro|10713|
4호선|4호선|104|명동|12698625|3756075|126.98624819313|37.560750732707|subway|metro|10416|
5호선|5호선|105|명일|12714399|3755150|127.14398831674|37.551497338122|subway|metro|10542|
1호선|1호선|101|명학|12693534|3738452|126.93533965661|37.384515605035|subway|metro|10166|
8호선|8호선|108|모란|12712914|3743265|127.1291394|37.43264655|subway|metro|10817|
인천2호선|인천2호선|302|모래내시장|12671979|3745587|126.71979331372317|37.455873135966954|subway|metro|30212|
5호선|5호선|105|목동|12686458|3752587|126.86457567573|37.525866710281|subway|metro|10511|
8호선|8호선|108|몽촌토성|12711239|3751742|127.11239208324|37.517424733642|subway|metro|10804|
3호선|3호선|103|무악재|12695018|3758212|126.95018141962|37.58211863709|subway|metro|10316|
2호선|2호선|102|문래|12689454|3751780|126.89454385427|37.517797355814|subway|metro|10232|
경의선|경의선|1001|문산|12678714|3785450|126.7871446221954|37.85450053425135|subway|metro|100101|
8호선|8호선|108|문정|12712223|3748598|127.12222723510|37.485984904484|subway|metro|10809|
수인분당선|수인분당선|201|미금|12710865|3735008|127.10865491231|37.350081652478|subway|metro|20102|
5호선|5호선|105|미사|12719249|3756299|127.192490980441|37.562991348199|subway|metro|10560|
4호선|4호선|104|미아|12702583|3762657|127.02582871179|37.626571437348|subway|metro|10407|
4호선|4호선|104|미아사거리|12702990|3761325|127.02989806881|37.613252413525|subway|metro|10408|
인천1호선|인천1호선|301|박촌|12674487|3755383|126.74486797734|37.553832553795|subway|metro|30121|
4호선|4호선|104|반월|12690353|3731210|126.90352804537|37.312103957283|subway|metro|10439|
7호선|7호선|107|반포|12701153|3750821|127.01152997829|37.508207691962|subway|metro|10725|
의정부경전철|의정부경전철|202|발곡|12705295|3772713|127.05295103442051|37.72712625905529|subway|metro|20201|
5호선|5호선|105|발산|12683746|3755848|126.83745601878|37.558483854466|subway|metro|10506|
2호선|2호선|102|방배|12699764|3748130|126.99763595855|37.481302454653|subway|metro|10218|
5호선|5호선|105|방이|12712607|3750866|127.12607161864|37.508657379479|subway|metro|10547|
1호선|1호선|101|방학|12704425|3766743|127.04425193327|37.667434603794|subway|metro|10107|
5호선|5호선|105|방화|12681271|3757729|126.81271152507|37.577290658471|subway|metro|10501|
경의선|경의선|1001|백마|12679450|3765817|126.79449963231|37.658165387939|subway|metro|100110|
3호선|3호선|103|백석|12678794|3764302|126.78793611594|37.643015692544|subway|metro|10305|
경춘선|경춘선|1201|백양리|12758879|3783077|127.58879318599473|37.83076715601318|subway|metro|120111|
1호선|1호선|101|백운|12670739|3748335|126.70738795347386|37.483346331332854|subway|metro|10144|
6호선|6호선|106|버티고개|12700661|3754807|127.00660860398|37.548069510471|subway|metro|10616|
4호선|4호선|104|범계|12695092|3738968|126.95091832959|37.389677231117|subway|metro|10434|
의정부경전철|의정부경전철|202|범골|12704366|3772872|127.04366171592174|37.72871577472016|subway|metro|20203|
경춘선|경춘선|1201|별내|12714424|3764824|127.14424020713433|37.648243732291455|subway|metro|120119|
4호선|4호선|104|별내별가람|12711624|3766785|127.116241994779|37.6678462120372|subway|metro|10458|
1호선|1호선|101|병점|12703306|3720675|127.03306293923421|37.20675228740849|subway|metro|10174|
7호선|7호선|107|보라매|12692061|3749992|126.92061230710924|37.49992085496506|subway|metro|10734|
신림선|신림선|1801|보라매공원|12691814|3749545|126.918140532784|37.4954456720422|subway|metro|180105|
신림선|신림선|1801|보라매병원|12692355|3749296|126.923549547206|37.4929643194464|subway|metro|180106|
6호선|6호선|106|보문|12702000|3758554|127.020003515933|37.585541696968|subway|metro|10610|
1호선|1호선|101|보산|12705724|3791381|127.05723934414|37.913808085306|subway|metro|10193|
수인분당선|수인분당선|201|보정|12710818|3731273|127.1081763|37.31273429|subway|metro|20114|
8호선|8호선|108|복정|12712662|3746995|127.1266224|37.4699545|subway|metro|10811|
9호선|9호선|109|봉은사|12706032|3751431|127.06031655332424|37.51431397207243|subway|metro|10929|
2호선|2호선|102|봉천|12694185|3748246|126.94184779866|37.482459776118|subway|metro|10222|
6호선|6호선|106|봉화산|12709109|3761747|127.09108572335|37.617471926377|subway|metro|10601|
1호선|1호선|101|부개|12674077|3748843|126.74077328104|37.48842879744|subway|metro|10142|
1호선|1호선|101|부천|12678279|3748377|126.78279181345|37.483767421907|subway|metro|10139|
1호선|1호선|101|부평|12672404|3749008|126.72404275409|37.490080225130|subway|metro|10143|
인천1호선|인천1호선|301|부평삼거리|12671014|3747758|126.71014237511|37.477579712128|subway|metro|30111|
인천1호선|인천1호선|301|부평시장|12672219|3749820|126.7221902037|37.498199789744|subway|metro|30114|
우이신설경전철|우이신설경전철|1501|북한산보국문|12700826|3761214|127.008263392003|37.6121367531121|subway|metro|150105|
우이신설경전철|우이신설경전철|1501|북한산우이|12701279|3766319|127.012789|37.663189|subway|metro|150113|
3호선|3호선|103|불광|12692963|3761013|126.92962810502|37.610133536135|subway|metro|10313|
